COD_UF;COD_MUN;COD_ESPECIE;LATITUDE;LONGITUDE;NV_GEO_COORD
35;3526902;1;-22.564651;-47.402346;1
35;3526902;1;-22.564651;-47.402346;1
35;3526902;1;-22.564651;-47.402346;1
35;3526902;1;-22.564651;-47.402346;1
35;3526902;1;-22.564651;-47.402346;1
35;3526902;1;-22.564651;-47.402346;1
35;3526902;1;-22.564651;-47.402346;1
35;3526902;1;-22.564651;-47.402346;1
35;3526902;1;-22.564651;-47.402346;1
35;3526902;1;-22.564651;-47.402346;1
35;3526902;1;-22.564651;-47.402346;1
35;3526902;1;-22.564651;-47.402346;1
35;3526902;1;-22.564651;-47.402346;1
35;3526902;1;-22.564651;-47.402346;1
35;3526902;1;-22.564651;-47.402346;1
35;3526902;1;-22.564651;-47.402346;1
35;3526902;1;-22.564651;-47.402346;1
35;3526902;1;-22.564651;-47.402346;1
35;3526902;1;-22.564651;-47.402346;1
35;3526902;1;-22.564651;-47.402346;1
35;3526902;1;-22.564651;-47.402346;1
35;3526902;1;-22.564651;-47.402346;1
35;3526902;6;-22.565004;-47.402108;1
35;3526902;6;-22.565004;-47.402108;1
35;3526902;6;-22.564825;-47.401950;1
35;3526902;6;-22.564853;-47.402018;1
35;3526902;6;-22.565477;-47.402280;1
35;3526902;6;-22.565139;-47.402324;1
35;3526902;6;-22.565139;-47.402324;1
35;3526902;4;-22.565615;-47.402365;1
35;3526902;6;-22.565529;-47.402352;1
35;3526902;6;-22.565608;-47.403077;1
35;3526902;6;-22.565608;-47.403077;1
35;3526902;6;-22.565609;-47.403129;1
35;3526902;4;-22.565629;-47.403223;1
35;3526902;6;-22.565452;-47.403492;1
35;3526902;6;-22.565421;-47.403600;1
35;3526902;1;-22.565192;-47.403756;1
35;3526902;6;-22.565251;-47.403500;1
35;3526902;6;-22.565757;-47.403086;1
35;3526902;6;-22.566137;-47.403035;1
35;3526902;6;-22.566106;-47.403222;1
35;3526902;5;-22.566137;-47.403035;1
35;3526902;6;-22.566139;-47.403333;1
35;3526902;6;-22.566209;-47.403462;1
35;3526902;5;-22.566071;-47.403477;1
35;3526902;6;-22.566167;-47.403501;1
35;3526902;6;-22.566165;-47.403506;1
35;3526902;5;-22.566354;-47.403159;1
35;3526902;1;-22.566246;-47.403657;1
35;3526902;6;-22.566265;-47.403697;1
35;3526902;1;-22.566109;-47.403751;1
35;3526902;1;-22.566109;-47.403751;1
35;3526902;1;-22.566109;-47.403751;1
35;3526902;1;-22.566109;-47.403751;1
